Name,Address,Club Name,University Name,Car Model,Consistency of Work & Gigs,Freelancing Experience (years),Income Diversification,Financial Risk Events,FICO Score,Credit Score,IScore,Interest Rate (%),Loan Eligibility
103,103,3548671,1313,4534487,7,10,4,1,581,140500,666.5629878276608,21.303876980078286,0
104,104,1388346,2119,4823600,5,0,1,2,668,184000,381.5655477707558,16.32816155642934,0
105,105,3779194,2715,3892658,3,11,1,2,387,43500,526.3740447679749,0.0,1
106,106,1804523,2585,4657161,4,20,3,1,392,46000,734.4953689714448,0.0,1
107,107,1805187,1937,857225,8,14,1,3,541,120500,687.4365358418511,20.98886483368241,0
108,108,1497441,3839,2089532,2,3,3,1,318,9000,425.52856436972587,0.0,1
109,109,4085977,2735,1740655,7,10,1,0,568,134000,615.3486273062939,19.437096359439415,0
110,110,3677034,670,947710,9,18,2,1,802,251000,809.6100787651083,9.25411530201833,0
111,111,1757161,4759,1534288,6,11,3,2,850,275000,620.7287945052904,8.408495895223961,0
112,112,2569915,2129,1221632,1,10,5,2,379,39500,513.451620638481,0.0,1
113,113,3104535,3950,1137997,2,19,3,0,754,227000,713.3228752149942,14.463126649943606,0
114,114,4943877,410,2593330,1,2,2,2,812,256000,349.0823110686733,8.503600132909842,0
115,115,1284163,3157,2804851,6,10,1,0,767,233500,610.2791656362198,10.731167395633713,0
116,116,801104,1988,3557913,1,9,4,2,403,51500,490.0448053806472,0.0,1
117,117,4632767,1643,3298376,4,9,1,2,587,143500,506.78936832462387,18.158602285312057,0
118,118,1025750,327,4288076,1,18,3,3,520,110000,615.8593002639805,18.332488860159522,0
119,119,1777998,1443,162252,8,1,1,2,508,104000,465.8095240836069,18.263875118569104,0
120,120,898116,3545,1562223,1,20,5,1,463,81500,696.5302598687903,0.0,1
121,121,4193881,3112,763367,2,7,1,0,386,43000,472.7524481931575,0.0,1
122,122,2787045,4214,521613,9,11,3,2,822,261000,672.5436097597902,8.450713387415167,0
123,123,4276192,3698,705226,4,19,1,3,362,31000,666.861140245785,0.0,1
124,124,3874178,3221,3869116,6,18,4,0,712,206000,778.984824208917,10.698299352653097,0
125,125,1059718,2442,240386,3,18,4,1,378,39000,691.6922001145472,0.0,1
126,126,3995487,2733,2473706,5,8,1,1,427,63500,543.2809917370339,0.0,1
127,127,392275,4822,4451989,3,6,2,0,719,209500,506.4185796198551,11.511118223777014,0
128,128,2478600,2997,2001282,5,20,1,3,844,272000,692.119098828902,7.253989557146895,0
129,129,305828,300,1380607,10,11,4,3,567,133500,700.9685536414352,19.831416415871775,0
130,130,3728827,2894,1482280,9,6,3,1,484,92000,622.8325029114023,0.0,1
131,131,1501346,3197,1382078,1,3,4,3,651,175500,386.3755557929952,15.53684937437714,0
132,132,2371621,690,4710277,8,6,3,1,524,112000,583.4652130344439,20.807216689168932,0
133,133,2133273,3749,4991340,1,9,1,1,526,113000,490.0768315880272,18.34346798121892,0
134,134,863562,2745,546555,5,10,3,0,488,94000,612.840047367211,0.0,1
135,135,3055758,2493,3432937,2,11,1,3,483,91500,479.64051773511346,0.0,1
136,136,1714951,4295,4921574,7,3,5,2,389,44500,510.2775124412305,0.0,1
137,137,4499268,686,2670869,3,15,4,0,490,95000,646.1200825988319,0.0,1
138,138,3153606,2773,3061460,7,15,5,1,364,32000,738.9039379621747,0.0,1
139,139,1645154,4020,1702947,9,12,4,1,595,147500,717.0272040861098,21.195691509202867,0
140,140,935868,973,238832,5,15,3,2,452,76000,650.1090302495868,0.0,1
141,141,1153067,271,714626,7,3,4,0,706,203000,561.6289962904264,14.56347783173979,0
142,142,3038510,2866,3986520,9,10,3,2,709,204500,662.9120852788711,13.149967604530524,0
143,143,3266994,2573,406062,1,20,4,1,428,64000,665.9810453001587,0.0,1
144,144,1397166,3573,4479683,9,5,2,3,357,28500,566.6433625156103,0.0,1
145,145,1582729,3423,4866565,2,8,3,2,742,221000,477.13729993408754,14.174346305995886,0
146,146,281814,4726,1922052,9,1,1,1,539,119500,488.96995066865713,20.237159844374148,0
147,147,4871493,4173,1588020,3,14,5,3,437,68500,616.4821081483158,0.0,1
148,148,716246,4288,244706,6,1,4,0,301,500,501.87191593741954,0.0,1
149,149,1817677,1941,1083154,10,20,1,3,828,264000,792.4182289382952,9.57325256208522,0
150,150,1950945,3952,2708800,10,13,4,2,692,196000,740.6040420593489,16.700489045046577,0
151,151,3278295,4013,2529422,1,2,2,1,505,102500,368.1371477908385,21.15830731100947,0
152,152,3562819,3429,2382487,2,18,5,2,583,141500,677.0260874976609,18.353785308716663,0
153,153,312854,3241,4211431,1,18,5,0,573,136500,689.4112020915759,20.386532668367654,0
154,154,3319136,2879,3022490,3,7,5,0,309,4500,539.8644536329872,0.0,1
155,155,1511975,3151,3741146,3,16,1,3,354,27000,596.6120444743882,0.0,1
156,156,1952516,3397,1747357,1,2,4,0,334,17000,433.95806009042406,0.0,1
157,157,2060075,4808,729355,8,18,2,0,811,255500,776.3307556924483,7.968356674696247,0
158,158,3293121,1996,2423285,4,1,1,2,708,204000,382.8577471137974,10.400987741522103,0
159,159,1475024,3803,1036202,3,3,3,0,724,212000,455.57236338946916,11.620174066671828,0
160,160,2661448,3268,2396433,3,2,3,1,335,17500,431.40197626860737,0.0,1
161,161,2029035,3923,718087,9,8,4,3,314,7000,616.2800736258035,0.0,1
162,162,3281147,1311,3070885,1,14,5,1,652,176000,615.932409141406,16.35888946372701,0
163,163,2282257,2577,2436353,3,20,1,1,604,152000,697.6368698012029,17.78541460154708,0
164,164,4699232,2654,4576162,10,19,5,2,451,75500,836.5796446453771,0.0,1
165,165,1993195,4074,1216925,6,15,1,1,692,196000,670.6529403030722,16.104083984798052,0
166,166,3898700,1309,965824,2,1,5,2,383,41500,379.2466469198631,0.0,1
167,167,2144579,507,2816253,5,10,2,1,709,204500,586.2614004643926,14.237253090086822,0
168,168,2309301,2789,3557037,10,9,1,0,539,119500,668.8492576597033,18.052666736340047,0
169,169,2433794,4162,380353,9,11,4,2,789,244500,668.8209493410152,11.669360289269356,0
170,170,912203,610,3496403,8,18,5,1,778,239000,830.1972734213085,14.66790102729338,0
171,171,4455366,4754,3095170,10,2,4,3,315,7500,527.5138342387312,0.0,1
172,172,516925,2073,2573405,1,16,3,3,481,90500,581.0750609413558,0.0,1
173,173,2581473,3291,1090597,7,18,2,2,811,255500,736.8259183341618,9.818638637717234,0
174,174,440149,1327,2332215,6,13,5,3,581,140500,659.0672189060854,20.623097698986847,0
175,175,3909145,1944,4593959,6,2,4,0,724,212000,505.3186579597408,13.963895613757874,0
176,176,1972215,4441,3080926,2,5,3,3,514,107000,436.2829305090755,20.45051928992957,0
177,177,959852,4920,4477688,10,19,1,0,592,146000,843.3794313494046,20.16165633963464,0
178,178,2155076,1323,134913,4,13,4,2,723,211500,609.3092300049389,10.73550285344249,0
179,179,1871298,3106,1591651,10,2,5,0,313,6500,614.784308094838,0.0,1
180,180,1936083,3925,2739535,6,1,1,0,646,173000,445.0648702957256,15.020548947131049,0
181,181,4908443,2004,4748484,10,18,5,0,607,153500,862.5304605867788,16.103665911228237,0
182,182,2839740,3433,3978416,8,15,5,3,411,55500,716.9967475084982,0.0,1
183,183,4697794,3685,3447267,9,18,1,1,785,242500,787.7493710838908,12.821792538664347,0
184,184,1932577,588,3169733,4,16,2,0,736,218000,678.7523058355486,14.558002981190207,0
185,185,3940276,4491,2312575,10,8,3,1,451,75500,655.7729797032666,0.0,1
186,186,224489,2861,4485833,5,13,2,1,529,114500,632.6459826976661,20.562663689812545,0
187,187,2448384,4472,4416918,3,13,3,2,846,273000,582.6695652176379,9.797635553484632,0
188,188,3860355,4656,2966460,1,13,1,0,513,106500,575.8878744204374,18.205499171026947,0
189,189,2614864,3392,4274694,6,0,4,2,689,194500,442.8465422612964,15.659085287591203,0
190,190,938420,1384,954611,1,17,3,3,475,87500,593.2392517817955,0.0,1
191,191,117483,2460,2748384,5,2,5,3,655,177500,454.66053155104095,15.620809013100342,0
192,192,998526,3769,1015681,3,7,3,3,524,112000,452.42219106434646,18.655414011300653,0
193,193,4611788,4249,3594752,10,4,4,1,460,80000,610.8444863212144,0.0,1
194,194,1586018,3412,1994708,6,18,2,2,669,184500,708.412331031532,15.597887884238705,0
195,195,999828,4871,267257,7,15,4,3,558,129000,685.6603027372469,20.38730891853985,0
196,196,1153661,4002,3277944,9,19,2,0,664,182000,822.0235920066972,17.030032233592127,0
197,197,4054952,4634,491862,1,3,1,0,570,135000,383.6002016308785,21.93205464987222,0
198,198,4315529,3162,2490122,1,12,3,3,462,81000,534.0705901518395,0.0,1
199,199,332804,4573,1270710,10,18,1,3,607,153500,763.6883252366962,16.4997318347498,0
200,200,666861,4758,4558070,10,8,3,2,707,203500,627.4006256189922,12.88638591317131,0
201,201,791976,874,2317564,9,9,1,2,691,195500,618.418673893643,15.650712599314122,0
202,202,1194904,1908,4380558,2,14,4,1,577,138500,623.4980953162411,21.53972330877785,0
203,203,1954994,600,458405,7,14,3,3,736,218000,662.6215519143341,10.645365073074728,0
204,204,2876905,4902,3756512,6,20,2,0,359,29500,773.9246297691423,0.0,1
205,205,3775663,148,525754,10,6,4,0,337,18500,655.104877723561,0.0,1
206,206,113890,4976,775252,4,12,3,2,441,70500,588.7714007940499,0.0,1
207,207,647883,1943,4000538,7,7,3,2,668,184000,570.3383246636308,17.234217011871827,0
208,208,125333,596,2002189,6,7,2,3,737,218500,515.267355001321,14.416343149712652,0
209,209,42292,2410,4021709,10,4,4,0,623,161500,629.3181293300788,15.45066306781807,0
210,210,1453514,4632,3314622,1,16,4,3,540,120000,615.2748638710001,18.203334392616505,0
211,211,2164157,671,1682898,4,14,3,0,675,187500,661.1551433037614,15.269043667437224,0
212,212,2138570,4350,2392717,6,15,3,0,429,64500,716.0504008336745,0.0,1
213,213,4003190,4954,482687,7,3,2,3,773,236500,465.2166596035145,11.909132832677685,0
214,214,4825208,4086,1781529,9,2,1,3,495,97500,477.4681344265756,0.0,1
215,215,4994928,393,2368060,9,13,3,2,661,180500,714.2984806265304,15.542430283052314,0
216,216,4211318,1106,3988242,6,1,2,3,371,35500,422.583067053556,0.0,1
217,217,2838116,896,162133,10,7,3,2,341,20500,640.6752817376887,0.0,1
218,218,1638155,4344,3052733,6,20,4,2,389,44500,770.4660402494048,0.0,1
219,219,3350796,3477,2901523,10,8,3,2,515,107500,643.9979143517182,18.353063702816513,0
220,220,1110035,4188,4495562,5,0,1,0,414,57000,419.74702228589103,0.0,1
221,221,4449072,617,492597,2,7,5,3,470,85000,476.40966853449197,0.0,1
222,222,3007793,3972,2812326,7,3,3,0,334,17000,541.4284031479774,0.0,1
223,223,4123066,4880,4956236,9,6,5,1,669,184500,640.9172259625466,16.07682173348483,0
224,224,1324354,2161,663790,5,4,4,1,642,171000,513.484297476382,15.014551859153158,0
225,225,1736895,4581,3647425,2,6,4,3,734,217000,446.3934892385592,10.254053683288792,0
226,226,4597150,2330,2926464,2,18,3,2,577,138500,657.8597232785484,20.66313074746244,0
227,227,4290489,850,4248095,6,14,2,2,542,121000,635.8193630265671,20.91872931557761,0
228,228,1160164,4353,941302,5,4,5,0,771,235500,536.272247906479,10.16852837892551,0
229,229,3208762,3218,463191,6,20,1,1,842,271000,760.0101812985438,7.824055540918741,0
230,230,2207391,556,4575852,4,14,5,1,425,62500,667.48057061152,0.0,1
231,231,589048,3441,3550076,4,9,2,0,545,122500,573.8275671283403,19.184452480247757,0
232,232,2320962,3736,4646415,1,10,4,2,815,257500,499.49659088916405,8.309028022718039,0
233,233,4989710,4722,547237,7,15,4,0,507,103500,743.4750991273891,20.578229060074968,0
234,234,782891,4804,2682190,4,16,2,0,629,164500,684.8502860661162,16.58946297080014,0
235,235,4617048,855,3090032,8,19,2,0,487,93500,794.9425981222773,0.0,1
236,236,2988168,4253,3602315,8,7,3,1,696,198000,603.123134503257,16.617240204272804,0
237,237,356307,2117,1955752,7,9,4,2,647,173500,608.0994421157469,17.06286609285784,0
238,238,1892720,4401,1574846,2,14,1,3,749,224500,541.8224064021031,12.202792887493848,0
239,239,1759988,1993,1469044,3,13,5,2,365,32500,611.1621170723831,0.0,1
240,240,3509461,157,1370181,7,9,3,0,550,125000,643.9573880558606,21.373544060383697,0
241,241,3759310,136,1190258,5,0,3,0,807,253500,446.7827822942646,7.271493608074334,0
242,242,1267309,553,1246772,6,4,1,0,479,89500,507.6382447872795,0.0,1
243,243,2019813,3078,2910633,6,18,5,0,693,196500,789.2058186328236,17.73292899792708,0
244,244,3385952,1345,424297,10,2,5,0,688,194000,600.903136037148,15.764962804899124,0
245,245,3924437,642,1674637,9,6,4,3,792,246000,584.6692552146677,10.543579016109502,0
246,246,2816197,2548,791410,5,8,5,3,793,246500,553.2150188276698,14.70812845693769,0
247,247,3948545,1210,3089417,2,15,5,3,369,34500,632.0356271222171,0.0,1
248,248,2208376,278,3286138,6,1,1,0,785,242500,453.42248770779054,10.443181034599991,0
249,249,1378452,824,498208,3,8,1,2,798,249000,493.5888513574377,11.75001660057038,0
250,250,3729034,430,1420467,8,13,3,0,402,51000,711.4642241109616,0.0,1
251,251,2518729,4978,825809,8,11,4,1,510,105000,685.9788289235796,18.362242343593845,0
252,252,382537,3393,4975230,5,12,5,1,645,172500,670.0105218650026,16.74635146045145,0
253,253,834313,481,1904856,4,8,4,1,781,240500,566.4225290911209,11.67580900847659,0
254,254,694024,4220,2734087,7,14,5,2,562,131000,714.5427563865151,20.22402037124963,0
255,255,4536943,2813,3214436,4,14,5,3,822,261000,643.5929328530256,8.204399904013433,0
256,256,1394411,2709,239881,8,9,4,0,635,167500,676.2269535056485,17.73875727136366,0
257,257,302920,3066,2079995,9,2,4,3,488,94000,536.329699759695,0.0,1
258,258,3882167,1225,4722210,5,9,5,3,671,185500,580.7443311781267,15.698456849707991,0
259,259,1460539,4164,3244850,8,15,2,1,679,189500,712.5504550387027,17.440953589426098,0
260,260,4266011,1974,3971732,7,1,3,0,341,20500,516.4038376457268,0.0,1
261,261,3514086,3326,3196494,7,4,2,2,585,142500,535.5363494410068,20.119903504076145,0
262,262,724071,3472,4006559,6,9,5,0,838,269000,648.9048676307151,7.867174965446657,0
263,263,3935269,487,3033927,6,10,2,1,755,227500,589.6192744740513,11.013895133261826,0
264,264,919504,2329,4300312,1,3,4,3,615,157500,391.49877891902395,16.433457209656485,0
265,265,1314350,1026,1731505,2,18,4,1,648,174000,684.542134621996,15.582395216357554,0
266,266,4165244,1067,4802546,1,14,4,3,711,205500,562.4964072136806,10.411162848326402,0
267,267,1674917,4131,1593283,1,12,4,3,518,109000,524.0044392463725,18.175774406722446,0
268,268,4094357,1475,2723446,2,10,1,3,816,258000,502.890966972906,7.541212754336139,0
269,269,970214,3315,2931316,2,5,2,0,806,253000,467.0920569160496,7.597150150644877,0
270,270,4438088,1038,749852,4,9,1,0,771,235500,547.4027819071591,14.09759327319773,0
271,271,4394520,102,2778882,2,6,4,0,450,75000,497.0389918442112,0.0,1
272,272,4648203,2321,4720010,10,11,4,1,529,114500,699.8200860424608,18.980015517158755,0
273,273,1390903,2212,1376447,1,17,1,3,741,220500,575.8793298220246,11.670047296392593,0
274,274,3470264,4196,4510781,5,5,1,3,804,252000,436.67189628584686,8.619278425408416,0
275,275,101064,1921,4117452,5,7,4,2,418,59000,527.6997365280214,0.0,1
276,276,4293164,2089,538931,10,3,4,2,650,175000,561.418802049528,15.27786009221872,0
277,277,4986232,4141,3518178,3,4,2,1,650,175000,447.9723391088632,16.76703226805203,0
278,278,2138624,4095,2282398,5,12,4,0,799,249500,669.5294597961623,11.144692083053883,0
279,279,4983128,4559,3479160,4,18,2,0,819,259500,701.6378102612205,8.725554586846915,0
280,280,4057044,2387,2862213,1,1,3,0,524,112000,383.85394753410174,18.000389353665845,0
281,281,4465297,867,2643031,1,16,1,2,775,237500,581.3391671865184,10.716887888184928,0
282,282,4490262,3060,765795,7,16,1,1,316,8000,694.2207519233076,0.0,1
283,283,3088129,1022,3786271,7,8,5,0,308,4000,642.1082948058208,0.0,1
284,284,2303866,1060,1119019,1,9,2,0,309,4500,504.952824258035,0.0,1
285,285,4582777,2226,2704802,1,14,5,3,616,158000,569.192508024023,15.389171798060447,0
286,286,4448635,1026,3346104,5,15,2,2,426,63000,656.9983408332611,0.0,1
287,287,2556220,760,1761226,5,15,4,1,427,63500,687.8158337989076,0.0,1
288,288,2027287,1633,2095422,9,18,1,0,649,174500,805.0623795721252,15.955352017754945,0
289,289,551109,757,3168059,1,5,3,3,799,249500,411.79071953934067,14.806915498525026,0
290,290,556416,2462,3979653,10,0,1,0,391,45500,522.8599631412792,0.0,1
291,291,4449092,4381,294803,3,2,3,3,614,157000,389.5460167938036,16.612787864328524,0
292,292,957971,3747,856147,8,0,2,1,639,169500,474.255226657124,17.80446830566993,0
293,293,1118801,436,3313622,7,12,2,1,521,110500,660.68576509287,20.620130938508247,0
294,294,123621,263,2515039,9,10,3,3,351,25500,633.7165422009243,0.0,1
295,295,3480617,2099,641405,7,12,5,2,706,203000,689.8387370361787,13.91677604211399,0
296,296,3278890,4517,1380863,5,0,1,1,462,81000,400.5708030435134,0.0,1
297,297,3424111,1052,4129504,9,4,1,2,725,212500,523.0386980219115,10.10318893437448,0
298,298,88414,887,2382921,7,12,2,2,396,48000,632.5318317327826,0.0,1
299,299,138232,1153,1595208,7,5,3,3,730,215000,524.482817627953,10.686771400610711,0
300,300,929768,1784,4367752,9,14,5,0,548,124000,769.5785514180984,20.654638385328788,0
301,301,4713992,3349,632697,3,8,2,0,573,136500,527.5643425420803,21.747966491805464,0
302,302,3252458,1336,4893416,1,4,2,0,379,39500,411.6468568836996,0.0,1
303,303,933151,1634,880130,5,20,1,2,556,128000,702.9857648434835,20.982427210352927,0
304,304,4636667,1021,4631424,4,6,3,0,654,177000,511.16425507656703,15.495521682236696,0
305,305,2230072,707,3385728,4,16,3,3,319,9500,621.6820205833096,0.0,1
306,306,1964321,4475,3135205,9,20,5,2,565,132500,859.0427982247631,18.337903866737662,0
307,307,3952477,998,1783039,7,18,5,2,688,194000,772.4446168278349,16.03913329560688,0
308,308,881592,2254,2702488,6,6,5,0,661,180500,588.5583003162162,17.800876221915182,0
309,309,278079,4245,3890138,9,10,1,3,492,96000,609.4332922850639,0.0,1
310,310,1535675,643,173988,2,2,3,3,640,170000,364.47769278894174,16.37823815941575,0
311,311,3099294,3606,1580769,10,8,5,0,780,240000,695.5624607143914,13.27202605443825,0
312,312,3417119,1249,4628031,4,17,1,3,318,9000,638.8156749791683,0.0,1
313,313,1986016,1110,4274447,3,17,2,1,613,156500,635.4494344108373,16.793414751349605,0
