Customer Name,Consistency of Work & Gigs,Freelancing Experience (years),Income Diversification,Financial Risk Events,FICO Score,Credit Score,IScore,Interest Rate (%),Loan Eligibility
35,4,7,4,1,688,194000,543.2432432,16.41807147,0
36,4,8,5,0,483,91500,588.6486486,0,1
37,6,3,3,2,740,220000,488.1081081,13.83253836,0
38,2,1,3,2,468,84000,377.8378378,0,1
39,2,10,3,0,685,192500,556.2162162,16.1045906,0
40,9,10,1,1,513,106500,650.2702703,18.43683257,0
41,10,13,1,1,318,9000,718.3783784,0,1
42,9,5,1,0,749,224500,585.4054054,10.68211051,0
43,9,9,4,1,410,55000,672.972973,0,1
44,4,19,1,0,706,203000,715.1351351,14.20916494,0
45,4,3,5,2,531,115500,475.1351351,19.42448831,0
46,6,6,5,3,316,8000,546.4864865,0,1
47,9,14,5,2,747,223500,750.8108108,13.42288846,0
48,4,20,5,2,562,131000,750.8108108,21.47542011,0
49,5,18,5,1,844,272000,754.0540541,7.432344343,0
50,2,5,5,0,455,77500,501.0810811,0,1
51,10,7,1,2,841,270500,604.8648649,9.718823918,0
52,2,20,5,1,610,155000,728.1081081,16.67254843,0
53,6,16,3,2,643,171500,698.9189189,16.25711924,0
54,6,5,2,1,777,238500,523.7837838,11.34285566,0
55,1,7,3,3,355,27500,439.4594595,0,1
56,4,2,4,3,685,192500,429.7297297,15.25038074,0
57,7,11,2,3,629,164500,608.1081081,15.63764619,0
58,2,17,1,2,425,62500,611.3513514,0,1
59,7,19,3,2,376,38000,767.027027,0,1
60,5,8,3,1,655,177500,565.9459459,16.85772946,0
61,9,12,4,1,805,252500,721.6216216,8.908892097,0
62,2,13,1,3,594,147000,530.2702703,19.25398268,0
63,8,3,5,3,698,199000,536.7567568,16.81367538,0
64,5,6,5,1,584,142000,559.4594595,21.3282121,0
65,3,2,5,3,530,115000,423.2432432,21.93845407,0
66,8,10,3,3,577,138500,624.3243243,21.67962995,0
67,1,18,2,0,798,249000,653.5135135,13.60421965,0
68,9,17,4,3,839,269500,770.2702703,8.032969152,0
69,7,20,3,3,327,13500,767.027027,0,1
70,1,17,5,3,556,128000,627.5675676,19.53861459,0
71,8,19,5,1,748,224000,828.6486486,11.52978215,0
72,1,3,4,1,772,236000,420,10.58523686,0
73,9,18,4,3,362,31000,786.4864865,0,1
74,10,5,5,0,472,86000,656.7567568,0,1
75,10,12,2,2,315,7500,698.9189189,0,1
76,4,0,5,3,677,188500,410.2702703,15.10517602,0
77,6,3,5,1,624,162000,530.2702703,16.40902418,0
78,5,9,1,0,549,124500,572.4324324,20.13932957,0
79,3,20,4,0,714,207000,750.8108108,13.85355833,0
80,7,2,1,3,438,69000,449.1891892,0,1
81,7,8,1,3,351,25500,546.4864865,0,1
82,4,13,1,0,598,149000,617.8378378,19.49592364,0
83,10,13,5,3,572,136000,737.8378378,21.42580088,0
84,3,19,4,2,392,46000,702.1621622,0,1
85,5,3,2,3,811,255500,439.4594595,7.991107744,0
86,4,19,1,0,713,206500,715.1351351,11.89553836,0
87,6,17,5,1,782,241000,757.2972973,10.49695468,0
88,1,12,5,1,312,6000,578.9189189,0,1
89,4,2,3,3,649,174500,416.7567568,15.88206067,0
90,4,19,5,3,588,144000,718.3783784,18.62935228,0
91,1,13,5,2,618,159000,578.9189189,17.14085194,0
92,3,3,4,3,771,235500,426.4864865,13.68735515,0
93,4,11,2,0,799,249500,598.3783784,11.18435534,0
94,2,1,5,2,344,22000,403.7837838,0,1
95,5,4,4,1,821,260500,514.0540541,7.281458307,0
96,6,19,1,3,580,140000,705.4054054,20.03208764,0
97,9,7,5,1,610,155000,653.5135135,17.17120804,0
98,8,14,4,2,629,164500,718.3783784,16.57957985,0
99,7,7,4,3,355,27500,569.1891892,0,1
100,1,5,5,0,512,106000,481.6216216,19.57623397,0
101,8,17,4,1,392,46000,783.2432432,0,1
102,7,4,5,1,665,182500,565.9459459,15.74193959,0
103,5,14,2,0,483,91500,666.4864865,0,1
104,1,6,4,3,757,228500,436.2162162,10.49541795,0
105,4,5,1,0,804,252000,488.1081081,7.595353219,0
106,6,2,3,3,619,159500,455.6756757,15.01749078,0
107,8,10,4,0,631,165500,685.9459459,16.36309725,0
108,1,13,3,3,397,48500,536.7567568,0,1
109,2,12,1,2,384,42000,530.2702703,0,1
110,1,17,1,3,391,45500,575.6756757,0,1
111,8,1,1,3,326,13000,452.4324324,0,1
112,1,17,1,1,564,132000,608.1081081,18.71716894,0
113,9,6,5,0,720,210000,653.5135135,10.37014274,0
114,9,0,1,1,706,203000,488.1081081,14.24187429,0
115,9,1,4,2,374,37000,527.027027,0,1
116,5,10,3,2,322,11000,582.1621622,0,1
117,7,19,1,3,717,208500,724.8648649,14.78250398,0
118,3,9,1,3,708,204000,484.8648649,13.06365017,0
119,1,4,3,1,510,105000,423.2432432,19.97099666,0
120,2,5,5,1,456,78000,484.8648649,0,1
121,2,19,4,0,481,90500,715.1351351,0,1
122,4,19,1,1,501,100500,698.9189189,19.08967341,0
123,7,8,1,0,727,213500,595.1351351,13.88507208,0
124,4,11,1,1,735,217500,569.1891892,11.0092856,0
125,8,5,1,0,357,28500,565.9459459,0,1
126,10,14,5,2,456,78000,770.2702703,0,1
127,5,15,1,0,443,71500,669.7297297,0,1
128,8,13,5,1,351,25500,731.3513514,0,1
129,7,1,4,0,777,238500,520.5405405,11.59977961,0
130,3,9,3,1,432,66000,543.2432432,0,1
131,10,0,3,3,551,125500,501.0810811,21.86830963,0
132,4,18,1,2,314,7000,666.4864865,0,1
133,7,18,4,0,848,274000,796.2162162,7.644928759,0
134,3,1,5,0,826,263000,455.6756757,8.347274912,0
135,3,17,4,1,826,263000,685.9459459,8.303647085,0
136,3,4,5,2,599,149500,471.8918919,18.34569948,0
137,4,0,2,2,379,39500,387.5675676,0,1
138,10,11,4,2,633,166500,708.6486486,15.62957129,0
139,1,5,1,2,442,71000,397.2972973,0,1
140,1,5,3,3,398,49000,407.027027,0,1
141,10,1,3,3,428,64000,517.2972973,0,1
142,1,17,5,0,426,63000,676.2162162,0,1
143,7,3,3,2,300,0,507.5675676,0,1
144,1,12,1,3,548,124000,494.5945946,18.49256823,0
145,6,6,4,2,643,171500,549.7297297,17.62356233,0
146,6,1,5,2,471,85500,481.6216216,0,1
147,1,12,3,1,849,274500,552.972973,8.084756941,0
148,8,0,4,0,695,197500,523.7837838,17.6732046,0
149,5,12,3,3,710,205000,598.3783784,12.47963463,0
150,10,7,3,1,809,254500,647.027027,9.290104978,0
151,5,20,5,3,799,249500,754.0540541,14.77109918,0
152,6,3,4,0,500,100000,533.5135135,0,1
153,1,12,1,3,462,81000,494.5945946,0,1
154,10,6,4,0,736,218000,660,10.30937,0
155,1,17,4,0,516,108000,663.2432432,20.34139936,0
156,2,11,4,2,733,216500,552.972973,13.08262212,0
157,1,10,4,2,557,128500,517.2972973,19.55740583,0
158,5,12,4,1,701,200500,643.7837838,13.89716682,0
159,3,5,3,1,492,96000,478.3783784,0,1
160,6,6,5,2,495,97500,562.7027027,0,1
161,1,4,1,3,649,174500,364.8648649,15.90641476,0
162,5,18,2,0,736,218000,731.3513514,13.51748131,0
163,7,17,4,2,560,130000,747.5675676,21.91272167,0
164,1,10,4,0,373,36500,549.7297297,0,1
165,9,18,1,3,759,229500,747.5675676,12.25981358,0
166,5,7,3,1,792,246000,549.7297297,10.24125166,0
167,3,6,2,3,720,210000,449.1891892,13.7622594,0
168,10,7,1,0,397,48500,637.2972973,0,1
169,8,14,4,2,769,234500,718.3783784,14.22309631,0
170,10,9,2,1,320,10000,666.4864865,0,1
171,4,12,4,0,313,6500,640.5405405,0,1
172,1,5,1,3,800,250000,381.0810811,14.9892635,0
173,7,5,1,0,506,103000,546.4864865,21.87836182,0
174,4,3,5,2,790,245000,475.1351351,14.2774894,0
175,6,10,3,3,499,99500,585.4054054,0,1
176,6,20,4,2,745,222500,776.7567568,11.90667515,0
177,2,11,4,0,837,268500,585.4054054,9.844851869,0
178,5,20,4,3,376,38000,741.0810811,0,1
179,10,11,5,2,674,187000,721.6216216,16.51255227,0
180,2,16,4,2,418,59000,634.0540541,0,1
181,5,17,1,1,536,118000,685.9459459,19.02211504,0
182,8,3,1,0,595,147500,533.5135135,20.65278366,0
183,7,0,3,0,480,90000,491.3513514,0,1
184,4,8,1,2,461,80500,504.3243243,0,1
185,6,11,3,0,718,209000,650.2702703,13.75187245,0
186,10,6,1,3,504,102000,572.4324324,20.65033544,0
187,1,5,3,1,845,272500,439.4594595,9.486410611,0
188,5,20,1,2,443,71500,718.3783784,0,1
189,7,14,5,2,754,227000,711.8918919,10.31785086,0
190,9,7,3,3,486,93000,595.1351351,0,1
191,4,3,5,3,471,85500,458.9189189,0,1
192,7,10,2,3,632,166000,591.8918919,17.04435261,0
193,8,2,3,1,371,35500,527.027027,0,1
194,8,3,5,0,671,185500,585.4054054,15.23968222,0
195,9,16,2,1,821,260500,760.5405405,8.061675843,0
196,3,19,3,2,693,196500,689.1891892,16.83867631,0
197,8,14,4,2,543,121500,718.3783784,20.89916301,0
198,5,5,3,1,319,9500,517.2972973,0,1
199,4,6,3,0,532,116000,530.2702703,18.63529682,0
200,4,5,4,3,832,266000,478.3783784,7.501823167,0
201,8,3,3,1,737,218500,543.2432432,11.8218543,0
202,6,19,2,0,521,110500,767.027027,20.71385841,0
203,10,8,4,3,360,30000,643.7837838,0,1
204,8,6,1,1,519,109500,565.9459459,21.14677303,0
205,9,15,5,3,357,28500,750.8108108,0,1
206,4,3,3,3,454,77000,432.972973,0,1
207,10,14,1,2,458,79000,718.3783784,0,1
208,4,20,2,2,690,195000,711.8918919,15.33586455,0
209,10,8,2,1,696,198000,650.2702703,17.08989271,0
210,10,0,5,0,590,145000,575.6756757,19.70758125,0
211,4,8,4,0,521,110500,575.6756757,20.15913902,0
212,8,11,5,0,753,226500,715.1351351,12.08005712,0
213,3,11,1,0,746,223000,565.9459459,12.39774664,0
214,8,3,2,3,663,181500,497.8378378,17.42181491,0
215,8,13,4,1,737,218500,718.3783784,10.09239089,0
216,3,15,5,1,337,18500,666.4864865,0,1
217,4,20,1,2,494,97000,698.9189189,0,1
218,4,7,2,2,448,74000,501.0810811,0,1
219,4,20,5,0,342,21000,783.2432432,0,1
220,1,6,5,3,492,96000,449.1891892,0,1
221,3,13,2,2,423,61500,578.9189189,0,1
222,3,6,4,1,440,70000,507.5675676,0,1
223,3,17,5,3,824,262000,666.4864865,8.320968806,0
224,10,0,5,3,718,209000,527.027027,14.43712429,0
225,8,17,2,1,623,161500,757.2972973,15.16843458,0
226,7,19,2,0,391,45500,786.4864865,0,1
227,2,0,4,1,765,232500,390.8108108,13.94825597,0
228,4,6,3,1,448,74000,514.0540541,0,1
229,8,3,4,1,465,82500,556.2162162,0,1
230,1,14,2,1,595,147500,572.4324324,21.5064465,0
231,6,0,4,1,819,259500,468.6486486,8.972091016,0
232,2,15,2,1,579,139500,608.1081081,18.7937439,0
233,10,8,4,3,560,130000,643.7837838,20.64524422,0
234,6,19,5,1,680,190000,789.7297297,17.66922844,0
235,7,19,2,0,381,40500,786.4864865,0,1
236,4,10,3,2,483,91500,562.7027027,0,1
237,3,15,5,2,599,149500,650.2702703,19.80459132,0
238,9,6,2,3,672,186000,565.9459459,16.17292187,0
239,3,20,5,0,332,16000,763.7837838,0,1
240,4,11,2,1,753,226500,582.1621622,11.94546383,0
241,4,12,3,2,466,83000,595.1351351,0,1
242,3,6,3,2,493,96500,478.3783784,0,1
243,6,2,3,1,653,176500,488.1081081,16.81546075,0
244,10,20,1,0,687,193500,848.1081081,16.66808364,0
245,8,16,3,2,332,16000,737.8378378,0,1
246,9,9,4,2,840,270000,656.7567568,7.021338251,0
247,8,3,2,3,556,128000,497.8378378,21.7225512,0
248,3,7,3,2,406,53000,494.5945946,0,1
249,9,5,4,0,468,84000,624.3243243,0,1
250,3,9,5,1,600,150000,569.1891892,21.55617376,0
251,7,19,3,0,428,64000,799.4594595,0,1
252,6,20,5,2,518,109000,789.7297297,19.93666961,0
253,2,12,1,2,569,134500,530.2702703,18.12559069,0
254,1,20,2,2,714,207000,653.5135135,12.75539383,0
255,3,5,2,3,825,262500,432.972973,9.849552624,0
256,6,11,3,1,491,95500,634.0540541,0,1
257,4,14,4,2,384,42000,640.5405405,0,1
258,3,3,5,1,409,54500,471.8918919,0,1
259,8,1,2,1,534,117000,497.8378378,20.06520849,0
260,4,0,1,1,465,82500,390.8108108,0,1
261,10,19,5,0,485,92500,883.7837838,0,1
262,5,2,3,2,302,1000,452.4324324,0,1
263,6,0,5,0,531,115500,497.8378378,21.17099164,0
264,5,6,5,1,319,9500,559.4594595,0,1
265,9,18,2,1,377,38500,792.972973,0,1
266,4,4,5,2,827,263500,491.3513514,9.765970686,0
267,2,4,1,2,698,199000,400.5405405,16.27145011,0
268,4,14,2,0,548,124000,647.027027,20.26191868,0
269,1,5,1,3,528,114000,381.0810811,19.42684789,0
270,6,6,5,2,333,16500,562.7027027,0,1
271,5,12,5,3,403,51500,624.3243243,0,1
272,7,10,3,2,638,169000,621.0810811,17.26896113,0
273,4,1,3,0,412,56000,449.1891892,0,1
274,2,19,5,3,695,197500,679.4594595,15.21082058,0
275,10,16,5,3,844,272000,786.4864865,7.700201385,0
276,4,6,1,1,787,243500,488.1081081,11.32834109,0
277,9,1,5,1,361,30500,556.2162162,0,1
278,7,13,5,0,743,221500,728.1081081,14.55570781,0
279,3,13,1,2,754,227000,565.9459459,10.3251053,0
280,10,9,4,1,583,141500,692.4324324,18.69670494,0
281,3,15,4,3,327,13500,621.0810811,0,1
282,7,5,5,2,752,226000,565.9459459,11.36010481,0
283,2,12,2,1,387,43500,559.4594595,0,1
284,2,8,1,0,800,250000,497.8378378,13.87233892,0
285,6,0,3,2,644,172000,439.4594595,16.06534203,0
286,1,2,5,2,509,104500,400.5405405,19.23320189,0
287,1,12,1,0,722,211000,543.2432432,11.75495098,0
288,9,5,5,3,796,248000,588.6486486,12.36541731,0
289,6,17,5,3,462,81000,724.8648649,0,1
290,8,1,5,1,494,97000,536.7567568,0,1
291,5,10,1,0,371,35500,588.6486486,0,1
292,9,10,3,3,347,23500,643.7837838,0,1
293,3,15,3,2,330,15000,624.3243243,0,1
294,8,10,3,1,783,241500,656.7567568,11.8784548,0
295,5,10,2,2,674,187000,569.1891892,15.57560614,0
296,6,14,4,3,362,31000,663.2432432,0,1
297,5,14,3,0,617,158500,679.4594595,17.88972643,0
298,5,4,4,1,328,14000,514.0540541,0,1
299,10,16,4,0,836,268000,822.1621622,9.201243608,0
300,5,13,4,2,572,136000,643.7837838,19.48499454,0
301,2,1,1,3,510,105000,335.6756757,18.81331709,0
302,1,20,1,1,772,236000,656.7567568,14.123929,0
303,4,13,3,2,642,171000,611.3513514,17.37646741,0
304,2,14,5,1,341,20500,630.8108108,0,1
305,1,8,4,0,428,64000,517.2972973,0,1
306,7,14,2,1,822,261000,689.1891892,8.666363776,0
307,10,13,1,3,812,256000,685.9459459,9.809979289,0
308,2,16,1,2,746,223000,595.1351351,13.00860284,0
309,9,6,5,1,416,58000,637.2972973,0,1
310,7,11,4,1,362,31000,666.4864865,0,1
311,6,2,4,1,689,194500,501.0810811,16.11701199,0
312,10,3,5,1,603,151500,608.1081081,16.13253569,0
313,6,11,3,2,788,244000,617.8378378,10.5859005,0
314,7,9,1,1,547,123500,595.1351351,21.46894317,0
315,8,0,4,3,643,171500,475.1351351,15.57585428,0
316,2,2,1,3,574,137000,351.8918919,21.07804854,0
317,1,2,2,3,629,164500,345.4054054,15.47146621,0
318,2,20,3,0,558,129000,718.3783784,20.06522728,0
319,4,18,4,3,798,249000,689.1891892,11.2958742,0
320,9,11,2,2,506,103000,663.2432432,18.87401898,0
321,7,20,1,1,489,94500,773.5135135,0,1
322,3,11,1,1,645,172500,549.7297297,15.7459648,0
323,2,14,4,3,658,179000,585.4054054,16.04853694,0
324,4,17,1,0,489,94500,682.7027027,0,1
325,9,9,2,0,419,59500,663.2432432,0,1
326,7,16,2,0,319,9500,737.8378378,0,1
327,8,0,2,2,790,245000,465.4054054,11.91774872,0
328,4,1,2,3,535,117500,387.5675676,20.57774021,0
329,10,4,1,2,349,24500,556.2162162,0,1
330,8,17,3,2,798,249000,754.0540541,10.45344556,0
331,9,6,4,0,773,236500,640.5405405,12.3579312,0
332,10,4,1,3,519,109500,540,18.89358609,0
333,6,17,5,2,617,158500,741.0810811,17.94700243,0
334,5,4,5,2,431,65500,510.8108108,0,1
335,3,20,5,3,766,233000,715.1351351,11.51144405,0
336,5,13,1,0,405,52500,637.2972973,0,1
337,7,3,5,2,531,115500,533.5135135,18.86796383,0
338,8,7,1,2,498,99000,565.9459459,0,1
339,7,18,2,1,383,41500,754.0540541,0,1
340,3,9,4,3,325,12500,523.7837838,0,1
341,1,5,5,2,440,70000,449.1891892,0,1
342,5,9,1,3,587,143500,523.7837838,19.47761892,0
343,5,6,1,2,556,128000,491.3513514,21.06567903,0
344,3,13,3,0,377,38500,624.3243243,0,1
345,10,20,5,0,302,1000,900,0,1
346,4,3,4,1,762,231000,478.3783784,12.93479579,0
347,10,19,5,0,784,242000,883.7837838,12.22971445,0
348,2,9,1,3,751,225500,465.4054054,11.342603,0
349,7,3,4,3,627,163500,504.3243243,15.64733567,0
350,6,3,4,0,329,14500,533.5135135,0,1
351,1,2,5,1,532,116000,416.7567568,18.20420231,0
352,9,5,4,3,509,104500,575.6756757,20.9152623,0
353,8,17,5,1,525,112500,796.2162162,20.55811446,0
354,1,20,2,1,461,80500,669.7297297,0,1
355,8,10,3,3,404,52000,624.3243243,0,1
356,10,11,2,1,434,67000,698.9189189,0,1
357,5,1,5,0,411,55500,494.5945946,0,1
358,2,16,1,2,734,217000,595.1351351,14.22590018,0
359,1,2,5,0,777,238500,432.972973,10.87064426,0
360,6,19,2,2,678,189000,734.5945946,17.63188917,0
361,5,5,2,0,478,89000,520.5405405,0,1
362,8,4,1,3,625,162500,501.0810811,17.72468993,0
363,3,17,1,2,560,130000,630.8108108,18.25886179,0
364,3,12,4,2,591,145500,588.6486486,19.66397638,0
365,8,5,4,3,378,39000,556.2162162,0,1
366,2,0,5,3,797,248500,371.3513514,10.6659318,0
367,1,0,4,2,810,255000,355.1351351,9.095890541,0
368,7,16,1,1,429,64500,708.6486486,0,1
369,3,8,4,2,686,193000,523.7837838,15.39858701,0
370,7,17,5,0,834,267000,792.972973,7.442279523,0
371,1,11,1,0,703,201500,527.027027,13.87044515,0
372,6,15,3,0,518,109000,715.1351351,20.9736143,0
373,10,3,4,1,798,249000,595.1351351,10.684679,0
374,1,8,4,2,601,150500,484.8648649,16.09135104,0
375,8,11,3,1,840,270000,672.972973,7.929662552,0
376,4,8,1,3,317,8500,488.1081081,0,1
377,9,17,5,2,421,60500,799.4594595,0,1
378,4,19,1,0,754,227000,715.1351351,14.86238171,0
379,3,9,3,1,417,58500,543.2432432,0,1
380,3,18,1,2,535,117500,647.027027,20.45444725,0
381,10,18,1,3,804,252000,767.027027,9.048019786,0
382,4,13,2,3,301,500,582.1621622,0,1
383,1,4,3,3,838,269000,390.8108108,9.533319481,0
384,7,17,3,3,433,66500,718.3783784,0,1
385,4,2,1,0,676,188000,439.4594595,16.2296395,0
386,10,10,5,3,488,94000,689.1891892,0,1
387,9,2,2,2,612,156000,517.2972973,16.33625534,0
388,3,7,4,3,779,239500,491.3513514,11.53590175,0
389,8,7,2,3,390,45000,562.7027027,0,1
390,5,20,5,1,650,175000,786.4864865,17.53136702,0
391,10,7,1,1,823,261500,621.0810811,8.884377539,0
392,2,19,2,1,565,132500,672.972973,20.83193037,0
393,7,19,5,3,817,258500,776.7567568,8.014425498,0
394,3,10,4,0,441,70500,588.6486486,0,1
395,7,4,2,2,667,183500,510.8108108,15.34944845,0
396,6,16,4,1,598,149000,728.1081081,20.81631923,0
397,7,14,2,2,764,232000,672.972973,11.81053314,0
398,9,18,3,2,666,183000,789.7297297,17.26976759,0
399,10,7,5,3,754,227000,640.5405405,14.36165402,0
400,1,11,1,2,682,191000,494.5945946,15.81017527,0
401,5,2,4,3,510,105000,449.1891892,21.30050606,0
402,8,2,2,2,641,170500,497.8378378,17.72142651,0
403,6,9,1,2,797,248500,559.4594595,12.149893,0
404,4,9,3,2,338,19000,546.4864865,0,1
405,5,6,3,2,815,257500,517.2972973,9.294935639,0
406,8,3,4,2,538,119000,540,18.38304748,0
407,5,7,2,0,738,219000,552.972973,13.72215464,0
408,7,17,3,2,726,213000,734.5945946,11.37876905,0
409,1,4,5,2,571,135500,432.972973,19.90710769,0
410,9,5,2,1,486,93000,582.1621622,0,1
411,6,10,5,0,557,128500,660,21.57722242,0
412,9,11,2,0,491,95500,695.6756757,0,1
413,4,12,5,2,776,238000,621.0810811,13.44494545,0
414,7,17,3,2,414,57000,734.5945946,0,1
415,6,8,2,3,368,34000,540,0,1
416,7,1,5,0,761,230500,533.5135135,13.55602081,0
417,8,20,5,0,637,168500,861.0810811,15.13470337,0
418,5,8,4,3,792,246000,546.4864865,13.50413645,0
419,5,10,4,0,624,162000,627.5675676,15.10982305,0
420,10,10,3,0,551,125500,711.8918919,21.96709201,0
421,3,2,5,3,747,223500,423.2432432,12.86035699,0
422,5,17,5,0,515,107500,754.0540541,18.14266249,0
423,3,8,4,3,573,136500,507.5675676,21.58214002,0
424,4,4,4,2,371,35500,478.3783784,0,1
425,9,5,4,1,382,41000,608.1081081,0,1
426,9,8,3,0,353,26500,660,0,1
427,10,6,2,2,598,149000,601.6216216,21.84015997,0
428,8,6,1,1,365,32500,565.9459459,0,1
429,5,5,5,3,380,40000,510.8108108,0,1
430,1,18,5,1,301,500,676.2162162,0,1
431,3,11,3,1,407,53500,575.6756757,0,1
432,9,16,1,2,630,165000,731.3513514,15.63972637,0
433,9,19,4,3,814,257000,802.7027027,7.295723548,0
434,3,2,4,0,751,225500,458.9189189,13.73615671,0
435,10,12,1,0,649,174500,718.3783784,17.86632626,0
436,7,17,2,0,849,274500,754.0540541,8.657516304,0
437,10,20,3,0,663,181500,874.0540541,16.67037638,0
438,8,0,3,3,440,70000,462.1621622,0,1
439,5,9,4,1,775,237500,595.1351351,12.11159332,0
440,2,18,1,2,736,218000,627.5675676,14.77931312,0
441,8,10,2,3,322,11000,611.3513514,0,1
442,1,4,2,0,779,239500,426.4864865,14.77775721,0
443,2,10,3,1,324,12000,540,0,1
444,6,8,5,0,732,216000,627.5675676,14.48675544,0
445,5,17,4,2,352,26000,708.6486486,0,1
446,10,3,2,3,798,249000,536.7567568,13.68486174,0
447,7,10,3,0,418,59000,653.5135135,0,1
448,1,0,3,1,745,222500,358.3783784,11.5696249,0
449,8,15,1,3,372,36000,679.4594595,0,1
450,4,12,1,0,315,7500,601.6216216,0,1
451,5,17,4,1,509,104500,724.8648649,21.09188379,0
452,3,8,3,3,681,190500,494.5945946,17.49057446,0
453,4,18,5,1,518,109000,734.5945946,20.69338882,0
454,5,17,2,0,389,44500,715.1351351,0,1
455,5,11,5,0,384,42000,656.7567568,0,1
456,4,4,1,0,359,29500,471.8918919,0,1
457,8,15,1,3,479,89500,679.4594595,0,1
458,8,2,2,3,548,124000,481.6216216,19.08064278,0
459,6,17,3,2,794,247000,715.1351351,14.80680579,0
460,3,10,4,2,324,12000,556.2162162,0,1
461,10,12,3,2,466,83000,711.8918919,0,1
462,6,9,1,0,317,8500,591.8918919,0,1
463,1,13,5,2,516,108000,578.9189189,18.56700847,0
464,1,19,5,2,489,94500,676.2162162,0,1
465,6,5,2,0,584,142000,540,18.76310408,0
466,5,3,4,2,546,123000,481.6216216,19.03821333,0
467,9,3,5,3,390,45000,556.2162162,0,1
468,3,10,5,2,678,189000,569.1891892,16.62229924,0
469,3,15,2,2,708,204000,611.3513514,12.23847404,0
470,8,11,1,2,429,64500,630.8108108,0,1
471,7,10,4,1,782,241000,650.2702703,13.66098793,0
472,7,18,2,0,565,132500,770.2702703,21.59302156,0
473,1,8,2,0,647,173500,491.3513514,16.79006067,0
474,7,14,5,1,649,174500,728.1081081,16.33444571,0
475,1,1,5,0,384,42000,416.7567568,0,1
476,7,12,4,1,790,245000,682.7027027,11.05050417,0
477,4,5,3,3,537,118500,465.4054054,21.28974443,0
478,10,7,5,2,429,64500,656.7567568,0,1
479,6,1,2,3,546,123000,426.4864865,18.22971798,0
480,5,6,1,2,422,61000,491.3513514,0,1
481,7,10,4,1,610,155000,650.2702703,15.1096051,0
482,2,20,2,1,310,5000,689.1891892,0,1
483,1,8,1,0,684,192000,478.3783784,16.56775975,0
484,2,11,1,3,303,1500,497.8378378,0,1
485,3,0,3,3,384,42000,364.8648649,0,1
486,10,13,4,3,782,241000,724.8648649,11.96909444,0
487,8,7,1,2,319,9500,565.9459459,0,1
488,8,6,5,0,417,58500,634.0540541,0,1
489,2,5,1,0,701,200500,449.1891892,13.63287942,0
490,4,9,1,1,409,54500,536.7567568,0,1
491,9,12,3,1,615,157500,708.6486486,17.00545414,0
492,7,12,3,1,761,230500,669.7297297,13.35464816,0
493,3,9,2,1,386,43000,530.2702703,0,1
494,1,14,5,0,636,168000,627.5675676,16.74315302,0
495,9,15,2,3,526,113000,711.8918919,18.98016437,0
496,3,15,4,1,761,230500,653.5135135,10.74886237,0
497,5,7,3,3,505,102500,517.2972973,20.12210098,0
498,8,13,1,1,562,131000,679.4594595,18.52992428,0
499,10,16,3,2,520,110000,776.7567568,19.48267108,0
500,7,17,5,3,769,234500,744.3243243,12.50361858,0
501,6,18,2,3,658,179000,702.1621622,16.98224851,0
502,8,18,3,3,556,128000,754.0540541,21.68357745,0
503,3,11,3,0,606,153000,591.8918919,16.42800486,0
504,2,13,4,1,478,89000,601.6216216,0,1
505,10,7,1,0,690,195000,637.2972973,16.89692689,0
